email_id,source,subject,body,type,PhishID
98,accounting@uam.edu,January Student Invoice ,"<p>Dear student,</p><p>&nbsp;</p><p>Your latest Univesity invoice is now available.&nbsp; To access this invoice, you can click on the following link...</p><p>&nbsp;</p><p><a href=""http://www.invoice.com"" onclick=""return false;"">University Student Invoice</a></p><p>&nbsp;</p><p>Your account on file will be charged for this invoice unless other arrangements are made.</p><p>&nbsp;</p><p>We thank you for your time.</p><p>&nbsp;</p><p>Sincerely,</p><p>University Account Management</p>",Phishing,1246
99,jp@ksb.indiana.edu,Summer Internship Position,"<p>Hello.</p><p>&nbsp;</p><p>I am currently pursuing my Masters&rsquo; in Accounting at the Kelley School of Business at Indiana University.&nbsp;I am also pursuing my CPA following my completion of my degree. Everything is going great right now but I am in need of experience in my field and I would love to join your team. I have expertise in Microsoft Access, Excel, Word and Powerpoint. I also have experience with&nbsp;Telnet, SSH,&nbsp;and configuring both wireless and wired internet connections.</p><p>&nbsp;</p><p>If you are interested, <a href=""http://www.go0gle.com"" onclick=""return false;"">here is my resume</a>.</p><p>&nbsp;</p><p>Thank you very much for reading and hopefully considering me for the position.</p><p>Sincerely look forward to joining your team!</p><p>&nbsp;</p><p>Best Regards,</p><p>Jeremy Paulson.</p>",Phishing,1256
100,george@share.gmail.com,"What's up, old friend?","<p>Hey,</p><p>I can&#39;t believe it&#39;s been 20 years since we&#39;ve talked. How are you doing? I heard that you have 2 kids. &nbsp;I would love to see a picture of them. Here is a pic of my family.<br /><br /><a href=""http://www.hjsjsle.com"" onclick=""return false;"">family pic.gif</a></p><p>&nbsp;</p><p>Let&#39;s get together sometime and talk!</p><p>&nbsp;</p><p>George</p>",Phishing,1259
101,privacy@chasebanking.com,Urgent Update,"<p>Dear Customer:&nbsp;</p><p>We are committed to providing the tools you need to help monitor your account.&nbsp;</p><p>Your account has been recently compromised from a different ip location. You must respond now or else you will be banned.</p><p>&nbsp;</p><p>Click here: <a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Thank you for being our customer. We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1265
102,verify@jpmorgan.chase.com,Urgent Request,"<p>We noticed that your account has been under some suspicious activity lately. In order to verify this is actually just you, please click the link below to provide confirmation:</p><p>&nbsp;</p><p>Click here: <a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Thank you for being our customer.</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1268
103,david@chase.bank.com,Chase Online Security Warning,"<p>Dear Customer:&nbsp;</p><p>At Chase we are committed to providing you the tools you need to help monitor your account, and recently we have detected that your account has been accessed from a location that isn&#39;t normallly associated with your account activities. This could be a simple networking change from your Internet Service Provider, but it could also be that an unknown entity has gained your account details.&nbsp;</p><p>&nbsp;</p><p>In order to continue to use this new location, or report fraud,&nbsp; we will need you to verify your account information on Chase&#39;s secure website which is located below.</p><p>&nbsp;</p><p>Click here: <a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Thank you for being our customer. We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely, David Smith</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1271
104,promotions@walmart.com,Free Vacation Prize,"<p><strong>Congratulations! You have won the drawing you entered by shopping at your local supermarket! The prize is an all inclusive vacation for two. Please follow the link below to claim your reward. If not claimed within the next 48 hours, the reward will be given to the second place winner in the drawing.</strong></p><p><br /><strong><a href=""http://www.walmart.com/prizewinners"" onclick=""return false;"">Click here to claim prize</a></strong></p><p>&nbsp;</p><p><strong>Thanks everyone,</strong></p><p><strong>Promotions Division</strong></p>",Phishing,1273
105,david@chase.online.com,We're Making Waves at Chase,"<p>This is Davis Smith, with Chase Online&#39;s Technology Department, inviting you to access our new newly update online banking system. We&#39;ve added dozens of new features that help you better manage your money, and investments.&nbsp; We&#39;re so excited that we are launching these new features that we&#39;re offering <strong>substantional discounts</strong> on some of our financial products for a <strong>limited time</strong>.</p><p>&nbsp;</p><p>Unfortunately due to the changes we will need you to verify your account details with our new service. You can verify your information below, on our new <strong>Secure Website</strong>.&nbsp;<strong> </strong></p><p>&nbsp;</p><p>Don&#39;t miss out on these exciting new features from Chase Online, verify today!&nbsp; <a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.chase.com/Logon.aspx</a>&nbsp;</p><p>&nbsp;</p><p>Sincerely, Chase Online Technology</p><p>&nbsp;</p><p>JP Morgan Chase Bank</p>",Phishing,1281
106,refunds@irs.us.gov,Tax Refund Notice,"<p>Hello,</p><p>&nbsp;</p><p>We are writing to you because your federal tax payment (ID: 88380290), recently sent out, is available for refund.</p><p>&nbsp;</p><p>For your security, new changes on the accounts listed above may be declined. If applicable, please advise any Additional Card Member(s) on your account that their new changes may also be declined.</p><p>&nbsp;</p><p>For more information, <a href=""http://www.ss.google.com"" onclick=""return false;"">please click here</a></p><p>&nbsp;</p><p>Your prompt response regarding this matter is appreciated.</p><p>&nbsp;</p><p><strong>Sincerely,</strong></p><p><strong>IRS Refund Team</strong></p>",Phishing,1289
107,rewards@online.walmart.com,You've Won FREE Walmart Coupons!,"<p><strong>17/11/2022<br />Account No: 108-455294-800125-MN</strong></p><p>&nbsp;</p><p>To our valued <em>Walmart</em> customer,&nbsp;</p><p>&nbsp;</p><p>The team at <em>Walmart Online Services</em> is happy to announce that you have been chosen as the &#39;User of the month&#39; lottery&nbsp;winner!&nbsp;This is a monthly event where we randomly choose a customer to receive&nbsp;free Walmart coupons. In order to&nbsp;access your coupons, please visit the link below:</p><p>&nbsp;</p><p><strong><a href=""http://walmart/rewards/coupons"" onclick=""return false;"">Walmart Reward Coupons</a></strong></p><p>&nbsp;</p><p>Using any of these coupons will result in a donation to St. Jude&#39;s Children Hospital, so you can now receive free items and donate to a good cause at the same time. We hope you&#39;ll help support us!<br /><br /><em><strong>From,</strong></em></p><p><strong>Your Friends at Walmart Online Services</strong></p><p>&nbsp;</p>",Phishing,1305
108,help@irs.us.gov,Important information concerning your tax refund for 2021,"<p>*********PLEASE DO NOT RESPOND TO THIS EMAIL *********</p><p>&nbsp;</p><p>We are writing to inform you that your Federal Tax payment (ID: 88380290), recently sent is now available for refund.</p><p>&nbsp;</p><p>For your security, new changes to the account&nbsp;listed above may be declined. If applicable, you should advise any Additional Card Member(s) on your account that their new changes may also be declined.</p><p>&nbsp;</p><p>For more information, <a href=""http://www.google.com"" onclick=""return false;"">please click here</a>&nbsp;to see your refund from the IRS.</p><p>&nbsp;</p><p>Your prompt response regarding this matter is appreciated.</p><p>&nbsp;</p><p>Sincerely,</p><p>&nbsp;</p><p>IRS</p><p>&nbsp;</p><p>PLEASE NOTE: Do not respond to unsolicited e-mails that claim to come from the IRS. The IRS does not use email to request personal information. Forward suspicious emails to <a href=""mailto:phishingemail@irs.gov"" onclick=""return false;"">phishingemail@irs.gov</a></p>",Phishing,1306
109,Sarah@rewards.walmart.com,I thought you might be interested in these...,"<p>Hi sweetheart,</p><p>How have you been?&nbsp;I just got rewarded these Walmart coupons and I figured you might want to use them. I don&#39;t shop there often, but I know you sometimes go to buy things in bulk. Here is the link:</p><p>&nbsp;</p><p><strong><a href=""http://walmart/rewards/coupons"" onclick=""return false;"">Walmart Reward Coupons</a></strong></p><p>&nbsp;</p><p>I&#39;ll get reward points for using the coupons, so please feel free to use any of them that you&#39;d like.<br /><br />From,</p><p>Sarah</p><p>&nbsp;</p>",Phishing,1307
110,fraudteam@chasebank.com,Immediate attention required ,"<p>*********PLEASE DO NOT RESPOND TO THIS EMAIL *********</p><p>&nbsp;</p><p>This morning we detected fraudulent charges on your credit card. Chase Rewards is committed to protecting our customers from credit card fraud and put an immediate hold on your credit card. To reinstate your card or to request a new one,&nbsp;<a href=""http://chaserewardscard.com"" onclick=""return false;"">click here</a>. From there we can go over your options as to how you would like to proceed with dealing with this fraudulent attack.&nbsp;</p><p>&nbsp;</p><p>Sincerely,</p><p>Your Chase Rewards Fraud team</p>",Phishing,1308
111,lizzy@updates.microsoft.com,RE: Help-Desk Support,"<p>Hell, The following account is due for password updates. Please login to complete these password updates for your account security.<br /><a href=""http://www.google.com"" onclick=""return false;"">CLICK HERE TO LOGIN USING SECURE ENCRYPTION</a><br />NOTE: Your login will time out after 30 minutes.&nbsp;Your responses will be lost if you do not click on the &quot;FINISH&quot; button before 30 minutes lapses. There is no prompt when your 30-minute session has expired. Please save extensive comments periodically and check your time.<br /><!--[if !supportLineBreakNewLine]--><br /><!--[endif]--></p><p>Elizabeth Hollinger</p><p>ITS Account Evaluations</p><p>Connected to Microsoft Exchange</p><p>&copy; 2020 Microsoft Corporation. All rights reserved.</p><p>&nbsp;</p><p>Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.</p>",Phishing,1324
112,cs@jp.morgan.co,New 30 Year Fixed Term Mortgage,"<p>Dear Loyal Customer:</p><p>&nbsp;</p><p>JP Morgan Chase Bank is offering a new 30 Year Fixed Term Mortgage to new homebuyers with rates starting from 1.05%.</p><p>&nbsp;</p><p>To see if you qualify,&nbsp;please click the link below.</p><p>&nbsp;</p><p><a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">To see if you qualify, click here</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Thank you,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1333
113,promotions@chase.bank.com,New 30 Year Fixed Term Mortgage,"<p>Dear Loyal Customer:</p><p>&nbsp;</p><p>JP Morgan Chase Bank is offering a new 30 Year Fixed Term Mortgage. Rates start as low as 105%&nbsp;for new home purchases and refinances.</p><p>&nbsp;</p><p><a target="""" href=""http://qualify-chase.html"" onclick=""return false;"">To see if you qualify, click here</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Thank you,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1335
114,information@help.cs.com,Information change,"<p>&nbsp;Hi this is in regards to the work you submitted last week. &nbsp;The files did not come through clear, we would appreciate it if you could log on via link below and re-submit files so we can finish our end of the job.<a href=""http://www.updateinfo.com"" onclick=""return false;"">Click Here</a> &nbsp;</p><p>Thank you,</p>",Phishing,1336
115,accounts@security.paypal.com,Your account actions have been limited,"<p><strong>Your account has been limited:</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p><strong>Dear User</strong></p><p>It looks like someone else may have access to your account, so we have temporarily locked it to keep your personal informations in safe. To unlock your account, you may need to pass a security check. Note that attempting to access someone else is a violation of PayPals terms. It may also be illegal. To reset your account:&nbsp;</p><p>1-Click on the link <a target="""" href=""PayPal-Security.html"" onclick=""return false;"">PayPal-Security.html</a>.&nbsp;</p><p>2-Open the page in a browser window secure.&nbsp;</p><p>3-Follow the instructions.</p>",Phishing,1349
116,derek@accounts.spotify.com,WARNING! YOUR ACCOUNT HAS BEEN LOCKED,"<p>Greetings from Spotify. We&#39;ve noticed rather unusual activity on your account and we have locked it to ensure that your account is safe. Please log in to your account at our official link here and confirm the information is legit. Failure to do so will cause the account to be permanently suspended.</p><p>&nbsp;</p><p>Regards</p><p>Derek, Spotify</p>",Phishing,1358
117,accounts@usaa.bank.com,Account Verification,"<p>Dear Sir or Madam:</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; You have an incoming payment directed to this e-mail address. However, we are unable to process this payment to your account as your details have not been verified. Clicking below will direct you to verify your account. This process should take no longer than two minutes. Due to recent cyber security breaches, it is always reccomended that you routinely update and change your account information to avoid scams and cyber attacks. Upon account verification all incoming payments can be transacted.</p><p>&nbsp;</p><p>Thank you for taking the time to secure your account</p><p>&nbsp;</p><p><a href=""http://www.bmbe.com"" onclick=""return false;"">Update Your Account Details here</a></p><p>&nbsp;</p><p>Thank you for banking with us.</p><p>&nbsp;</p><p>Sincerely,</p><p>USAA Bank</p>",Phishing,1364
118,pormotions@my.amazon.com,Your Amazon.com order of EFFORTINC Vintage Chandelier Deer Horn,"<p>Hello,</p><p>&nbsp;</p><p>Thank you for shopping with us.</p><p>We will email you once your item&nbsp;has shipped.</p><p>&nbsp;</p><p>Order Details:</p><p>Order # 002-527657-2343090</p><p>Shipping: FREE Two-Day Shipping</p><p>Order total: $109.29</p><p>&nbsp;</p><p>If you didn&rsquo;t authorize the transaction, please <a href=""http://www.refund.item"" onclick=""return false;"" > Click Here </a>to receive a full refund.</p><p>&nbsp;</p><p>We hope to see you again soon.</p><p>&nbsp;</p><p>Amazon.com</p>",Phishing,1366
119,accounts@paypal.security.com,Unauthorized Account Access Attempt,"<p><strong>Potential Unauthorized Account Access Attempt!</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p><strong>Dear Client&nbsp;</strong></p><p>&nbsp;</p><p>On 11/24/2022 an attempt was made to access your account from an unknown IP Address (54.875.24.152). In an effort to protect your personal and financial information we have temporarily locked your account. The access attempt was blocked prior to the unauthorized individual (or individuals) gaining access so, at this time, your personal and financial information remains secure. If this was you, or you authorized the third party access, we apologize for the inconvenience. However, in order to unlock your account and protect the integrity of your personal and financial information, you must pass a security check.</p><p>&nbsp;</p><p>Note that attempting to access the account of someone other than one&#39;s self is a violation of PayPal&#39;s terms and conditions. It may also be illegal.</p><p>&nbsp;</p><p>To begin, please:&nbsp;</p><p>1. Right click on the link <a target="""" href=""PayPal-Security.html"" onclick=""return false;"">PayPal-Security.html</a>.&nbsp;</p><p>2. Open the page in a secure (or private) browser window.</p><p>3. Follow the instructions given.</p><p>&nbsp;</p><p>Thank you for your prompt attention.</p><p>&nbsp;</p><p>PayPal Member Security Services</p>",Phishing,1374
120,security@kapersky.com,Your Account Needs Verification,"<p>Dear Sir or Madam:</p><p>This is a reminder that your account is unsecure and open to potential cyber breaches. To verify your acccount please follow the link below. Account verification takes no more than two minutes and is essential to protecting your data while online. Recent cyber attacks have led to heightened attention being paid to cyber security. Please do not let your account become compromised, verify your safety now!</p><p>&nbsp;</p><p>&nbsp;</p><p><a href=""http://www.123.com"" onclick=""return false;"">Secure Your Account Details here</a></p><p>&nbsp;</p><p>&nbsp;</p><p>Sincerely,</p><p>Kaspersky Internet Security Team</p>",Phishing,1377
121,accounts@paypal.security.com,Unauthorized Account Access Attempt,"<p><strong>Potential Unauthorized Account Access Attempt!</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p>Date: 11/25/2022</p><p>Time: 12:00 PM EST</p><p>&nbsp;</p><p><strong>Dear Client&nbsp;</strong></p><p>&nbsp;</p><p>On 11/25/2022 an attempt was made to access your account from an unknown IP Address (54.875.24.152). In an effort to protect your personal and financial information we have temporarily locked your account. This includes the ability to withdrawl funds. The access attempt was blocked prior to the unauthorized individual (or individuals) gaining access so, at this time, your personal and financial information remains secure. If this attempt was made by you, or you authorized the third party access, we apologize for the inconvenience. However, in order to unlock your account and protect the integrity of your personal and financial information, you must pass a security check.</p><p>Also note that this is a time sensitive matter. You must complete the security check within 72 hours of the date of this email. Should you choose not to comply, your account will be permanently locked and any funds contained therein will be forfeited.</p><p>&nbsp;</p><p>To begin, please:&nbsp;</p><p>1. Right click on the link <a target="""" href=""PayPal-Security.html"" onclick=""return false;"">PayPal-Security.html.</a></p><p>2. Open the page in a secure (private) browser window.</p><p>3. Follow the instructions provided.</p><p>&nbsp;</p><p>Please note that PayPal will <strong>never</strong> ask for your password over the phone, nor ask you to send your login credentials via email.</p><p>&nbsp;</p><p>Don&#39;t wait. Protect your information and unlock your account within the next 72 hours to avoid the loss of your account and forfeiture of funds.</p><p><a href=""http://www.paylpal.com/security"" onclick=""return false;"">PayPal Member Security Services</a></p>",Phishing,1385
122,promotions@loans.chase.com,New 30 Year Fixed Term Mortgage,"<p>Dear Loyal Customer:</p><p>&nbsp;</p><p>JP Morgan Chase Bank is excited to announce their&nbsp;30 Year Fixed Term Jumbo Loan with rates starting from 1.05% to qualified customers to refinance or get a loan for a house</p><p>&nbsp;</p><p>In only seconds you can see if you qualify, just click here. We have representives standing by.&nbsp;</p><p>&nbsp;</p><p><a target="""" href=""http://Chase-Security.html"" onclick=""return false;"">https://chaseonline.com/promotional/30YearJumbo/qualification.aspx</a>&nbsp;</p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1400
123,sjoans@security.aws.com,Oh no! It looks like your Amazon account has been suspended.,"<p><strong>Account suspended !</strong></p><p>108-4596473-8009841 FF&nbsp;</p><p>&nbsp;</p><p>Hey Mary,</p><p>My name is Steve and I work with Amazon. I am in charge of your account and wanted to reach out to you about an issue I just found. We were unable to validate important details about your Amazon Web Services (AWS) Account - what does this mean? Unfortunately, you AWS account has been suspended. We&#39;re sure this was a mistake or an error, so there is a way to fix this quickly.&nbsp;</p><p>&nbsp;</p><p><strong>Don&#39;t worry! We can fix it quickly!</strong></p><p>Please visit your account details to confirm the payment information for your account.&nbsp;</p><p><a target="""" href=""http://Amazon-Security.html"" onclick=""return false;"">Update Your Payment Method</a></p><p>&nbsp;</p><p>Account Details&nbsp;</p><p>Account #108-4596473-8009841&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>Best,</p><p>&nbsp;</p><p>Steve Jones</p><p>Amazon IT Team</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022</p>",Phishing,1403
124,sjoans@security.google.com,Important Gmail Alert for Mary,"<p><strong>Hi&nbsp;Mary,</strong></p><p>&nbsp;</p><p>My name is Steve and I am your Gmail Team Representative. I wanted to inform you of a security breach that caused us to flag your acount and freeze it. We were unable to validate important details about your Gmail and associated Google Payments account- what does this mean? Unfortunately, it has been suspended from being accessed online.I can tell that you are a loyal customer and this is a preliminary initial notification. So, I wanted to extend an offer for you to reverse this suspension.</p><p>&nbsp;</p><p><strong>Cick here to confirm your identity and unlock your account.</strong></p><p>Please visit your account details to confirm the payment information for your account.&nbsp;</p><p><a target="""" href=""http://Amazon-Security.html"" onclick=""return false;"">Update Your Payment Method</a></p><p>&nbsp;</p><p>Account Details&nbsp;</p><p>Account #108-4596473-8009841&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>Best,</p><p>&nbsp;</p><p>Steve Jones<br />Gmail Team Lead</p><p>Conditions of Use Privacy Notice &nbsp;1996-2022, Amazon.com, Inc. or its affiliates 11/10/2022</p>",Phishing,1411
125,jpaulson@gmail.com,Summer Internship Application,"<p>Dear Sir or Madam:</p><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; I am interested in the Summer Internship you posted. I am currently pursuing my Masters&rsquo; and want to get CPA upon completion. Expertise in Microsaft suite, Telnet and Ethernet Configuration.</p><p>&nbsp;</p><p>More detailed information on my qualifications can be found here at <a href=""http://www.dfke.com"" onclick=""return false;"">my CV</a></p><p>&nbsp;</p><p>Thanks for your pay attention.</p><p>Sincerely look forward to joining your team!</p><p>&nbsp;</p><p>Best Regards,</p><p>Jeremy Paulson.</p>",Phishing,1416
126,j.allen@usweepstakes.com,Winner!!!!,"<p>Dear Sir/Maam:</p><p>&nbsp;</p><p>&nbsp;</p><p>I am writing to inform you that you have been selected from among your university staff to receive a prize of $1000. To claim this prize simply go to <a href=""http://asfdfdse"" onclick=""return false;"">our website</a> and enter your contact information. <strong>You must do this within 24 hours or your prize will be forfeited!</strong></p><p>&nbsp;</p><p>&nbsp;</p><p>Jane Allen</p><p>University Sweepstakes, Ltd</p>",Phishing,1424
127,loans@jp.chasebank.com,Modify Your Loan With J.P. Morgan,"<p>Hello valued customer,</p><p>&nbsp;</p><p>JP Morgan Chase Bank is your one go-to for modifying your loan. Check out our website today to see if you qualify for a modification at premium rates.</p><p>&nbsp;</p><p>Take advantage of your situation by clicking below:</p><p>&nbsp;</p><p><a href=""http://Chasebank.com"" onclick=""return false;"">http://chasebank1.com/mortages/modification.html</a></p><p>&nbsp;</p><p>We look forward to serving all of your financial needs.&nbsp;</p><p>&nbsp;</p><p>Sincerely,&nbsp;</p><p>Jane Foster</p><p>JP Morgan Chase Bank, N.A.</p><p>Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752.&nbsp;</p><p>&copy; 2022 JPMorgan Chase &amp; Co.</p>",Phishing,1433
128,jroberts@updates.com,System updates,"<p>Dear Colleague,</p><p>&nbsp;</p><p>As part of our ongoing system upgrades, we are upgrading our password security. We now require users to have a&nbsp;<em>minimum</em>&nbsp;password length of 12 characters. Our records show that your current password does not meet the new standard, therefore we need you to update your current login.</p><p>&nbsp;</p><p><em>This is a mandatory change.&nbsp;User who do not comply will have there login privliges removed.</em></p><p>&nbsp;</p><p>Please go&nbsp;<a href=""http://g00gle.com"" onclick=""return false;"">here</a>&nbsp;to update your records.</p><p>&nbsp;</p><p>Thanks,</p><p>John Roberts</p><p>System Administrator</p><p>&nbsp;</p>",Phishing,1439
129,jackd@it.updates.com,System updates,"<p>Dear Colleague,</p><p>&nbsp;</p><p>We are upgrading password security as part of our ongoing system upgrades.&nbsp;We now require users to have longer and more varied (both letters and numbers) passwords. Our records indicate that your current password does not meet the new standard.</p><p>&nbsp;</p><p><em>This is a mandatory update.&nbsp;User who do not comply will have there login privliges removed.</em></p><p>&nbsp;</p><p>Please go&nbsp;<a href=""http://www.abc.com"" onclick=""return false;"">here</a>&nbsp;to update your account.</p><p>&nbsp;</p><p>Thanks,</p><p>Jack Doyle</p><p>System Administrator</p><p>IT</p><p>&nbsp;</p>",Phishing,1440
130,refunds@irs.us.gov,Tax Refund Notification,"<p>&nbsp;</p><p>&nbsp;</p><p>We are writing to you because your federal Tax refund&nbsp;is now ready to be sent. To confirm your account please visit the website below.&nbsp;</p><p>If verification is not&nbsp;made within the next 72 hours your refund could substantially be delayed. Log in now to secure your refund.&nbsp;</p><p>&nbsp;</p><p>&nbsp;<a href=""http://www.IR5.com"" onclick=""return false;"">www.irs.com</a> &nbsp;</p><p>&nbsp;</p><p>Again, please respond within the next 72 hours to avoid delays to your refund.</p><p>&nbsp;</p><p>Sincerely,</p><p>&nbsp;</p><p>IRS Refund Department</p>",Phishing,1459
131,refunds@us.irs.gov,IRS.GOV Offical Refund Notice,"<p>&nbsp;</p><p>Dear Taxpayer</p><p>We are writing to you because your federal Tax return has been processed and your&nbsp;refund&nbsp;is now ready to be sent. To confirm your account please visit the website below.&nbsp;</p><p>If verification is not&nbsp;made within the next 72 hours your refund will be&nbsp;substantially be delayed or forfeited.&nbsp;Log in now to secure your refund. We need your help to keep our website secure for all users.&nbsp;</p><p>&nbsp;</p><p>&nbsp;<a href=""http://www.refund.irs.com"" onclick=""return false;"" >Claim Here </a> &nbsp;</p><p>&nbsp;</p><p>Again, please respond within the next 72 hours to avoid delays to your refund.</p><p>&nbsp;</p><p>Sincerely,</p><p>&nbsp;</p><p>IRS Refund Department</p>",Phishing,1467
132,accounts@security.paypal.com,Attention needed for your account,"<p><strong>Please resolve your account&nbsp;</strong></p><p>&nbsp;</p><p>Case id : 9000321-128. &nbsp;Login attempt from unknown device.&nbsp;</p><p>&nbsp;</p><p><strong>Dear Client&nbsp;</strong></p><p>It looks like someone else may have access to your account, so we have temporarily locked it down to keep your personal informations in safe.</p><p>In order to unlock your account, you may need to pass a security check. &nbsp;Note that attempting to access someone else is a violation of PayPals terms.</p><p>It may also be illegal.</p><p>To reset your account:&nbsp;</p><p>1-Click on the link <a herf=""http://PayPal-Security.html"" onclick=""return false;"">PayPal-Security.html</a>.&nbsp;</p><p>2-Open the page in a browser window secure.&nbsp;</p><p>3-Follow the instructions.</p>",Phishing,1474
